city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,training_hours,target
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,36,1
0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,15,47,0
0.767,Male,Has relevent experience,no_enrollment,Masters,20,8,0
0.92,Male,Has relevent experience,no_enrollment,High School,5,24,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,13,18,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,7,46,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,108,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,20,23,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,16,18,0
0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,4,132,1
0.843,Male,Has relevent experience,no_enrollment,Masters,11,68,0
0.926,Male,Has relevent experience,no_enrollment,Masters,11,50,0
0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,1,65,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,72,0
0.887,Male,Has relevent experience,no_enrollment,High School,11,8,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,18,68,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,40,0
0.92,Male,Has relevent experience,Part time course,Graduate,19,141,0
0.92,Female,No relevent experience,Full time course,Graduate,5,24,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,20,82,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,12,145,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,10,206,0
0.926,Male,No relevent experience,Part time course,High School,1,152,0
0.926,Male,Has relevent experience,no_enrollment,Phd,20,42,1
0.926,Female,Has relevent experience,Full time course,Masters,16,14,0
0.924,Male,Has relevent experience,no_enrollment,High School,4,36,0
0.624,Male,Has relevent experience,Part time course,Masters,9,7,1
0.624,Female,No relevent experience,Full time course,Masters,5,26,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,87,1
0.92,Other,Has relevent experience,no_enrollment,Graduate,19,52,1
0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,15,20,1
0.923,Male,Has relevent experience,no_enrollment,Graduate,11,21,0
